character,frequency,onyomi,kunyomi,jlpt,meaning
簡,983,カン ケン,えら.ぶ ふだ,2,simplicity; brevity
緩,933,カン,ゆる.い ゆる.やか ゆる.む ゆる.める,1,slacken; loosen; relax; lessen; be moderate; ease
缶,1543,カン,かま,1,tin can; container; jar radical (no. 121)
翰,,カン,はね ふで やまどり ふみ,,letter; writing brush
肝,1118,カン,きも,1,liver; pluck; nerve; chutzpah
艦,1363,カン,,1,warship
莞,,カン,い,1,smiling; reed used to cover tatami
観,476,カン,み.る しめ.す,2,outlook; look; appearance; condition; view
諌,2296,カン,いさ.め いさ.める,,admonish; dissuade
貫,1156,カン,つらぬ.く ぬ.く ぬき,1,pierce; 8 1/3lbs; penetrate; brace
還,910,カン,かえ.る,1,send back; return
鑑,1391,カン,かんが.みる かがみ,1,specimen; take warning from; learn from
間,33,カン ケン,あいだ ま あい,4,interval; space
閑,1994,カン,,1,leisure
関,70,カン,せき -ぜき かか.わる からくり かんぬき,2,connection; barrier; gateway; involve; concerning
陥,1154,カン,おちい.る おとしい.れる,1,collapse; fall into; cave in; fall (castle); slide into
韓,445,カン,から いげた,,Korea
館,613,カン,やかた たて,3,building; mansion; large building; palace
舘,2281,カン,やかた たて,,mansion; large building; palace
丸,542,ガン,まる まる.める まる.い,2,round; full (month); perfection; -ship; pills; make round; roll up; curl up; seduce; explain away
含,466,ガン,ふく.む ふく.める,2,contain; include; hold in the mouth; bear in mind; understand; cherish
岸,556,ガン,きし,2,beach
巌,1986,ガン,いわ いわお けわ.しい,1,rock; crag; boulder
玩,2216,ガン,もちあそ.ぶ もてあそ.ぶ,,play; take pleasure in; trifle with; make sport of
癌,2233,ガン,,,cancer; cancerous evil
眼,1527,ガン ゲン,まなこ め,1,eyeball
岩,787,ガン,いわ,2,boulder; rock; cliff
翫,2134,ガン,もてあそ.ぶ,,take pleasure in; play instrument
贋,2439,ガン,にせ,,counterfeit; forgery
雁,2192,ガン,かり かりがね,,wild goose
頑,1247,ガン,かたく.な,1,stubborn; foolish; firmly
顔,676,ガン,かお,3,face; expression
願,894,ガン,ねが.う -ねがい,2,petition; request; vow; wish; hope
企,278,キ,くわだ.てる たくら.む,1,undertake; scheme; design; attempt; plan
伎,,ギ キ,わざ わざおぎ,1,deed; skill
危,606,キ,あぶ.ない あや.うい あや.ぶむ,2,dangerous; fear; uneasy
喜,769,キ,よろこ.ぶ よろこ.ばす,2,rejoice; take pleasure in
器,525,キ,うつわ,2,utensil; vessel; receptacle; implement; instrument; ability; container; tool; set
基,241,キ,もと もとい,2,fundamentals; radical (chem); counter for machines; foundation
奇,1367,キ,く.しき あや.しい くし めずら.しい,1,strange; strangeness; curiosity
嬉,2274,キ,うれ.しい たの.しむ,1,glad; pleased; rejoice
寄,673,キ,よ.る -よ.り よ.せる,2,draw near; stop in; bring near; gather; collect; send; forward
岐,1428,キ ギ,,1,branch off; fork in road; scene; arena; theater
希,896,キ ケ,まれ こいねが.う,2,hope; beg; request; pray; beseech; Greece; dilute (acid); rare; few; phenomenal
幾,1725,キ,いく- いく.つ いく.ら,1,how many; how much; how far; how long; some; several
忌,1882,キ,い.む い.み い.まわしい,1,mourning; abhor; detestable; death anniversary
揮,946,キ,ふる.う,1,brandish; wave; wag; swing; shake
机,1671,キ,つくえ,2,desk; table
旗,1190,キ,はた,1,national flag; banner; standard
既,1081,キ,すで.に,1,previously; already; long ago
期,117,キ ゴ,,2,period; time; date; term
棋,1311,キ,ご,1,chess piece; Japanese chess; shogi
棄,901,キ,す.てる,1,abandon; throw away; discard; resign; reject; sacrifice
機,127,キ,はた,2,loom; mechanism; machine; airplane; opportunity; potency; efficacy; occasion
帰,504,キ,かえ.る かえ.す おく.る とつ.ぐ,3,homecoming; arrive at; lead to; result in
毅,1770,キ ギ,つよ.い,1,strong
気,113,キ ケ,いき き,4,spirit; mind; air; atmosphere; mood
汽,2020,キ,,1,vapor; steam
畿,1683,キ,みやこ,,capital; suburbs of capital
祈,1462,キ,いの.る,2,pray; wish
季,842,キ,,2,seasons
稀,2232,キ ケ,まれ まばら,1,rare; phenomenal; dilute (acid)
紀,780,キ,,1,chronicle; account; narrative; history; annals; geologic period
徽,,キ,しるし,,good; beautiful; badge
規,349,キ,,2,standard; measure
記,149,キ,しる.す,2,scribe; account; narrative
貴,970,キ,たっと.い とうと.い たっと.ぶ とうと.ぶ,1,precious; value; prize; esteem; honor
起,374,キ,お.きる お.こる お.こす おこ.す た.つ,3,rouse; wake up; get up
軌,1480,キ,,1,rut; wheel; track; model; way of doing
輝,1259,キ,かがや.く,1,radiance; shine; sparkle; gleam; twinkle
飢,1659,キ,う.える,1,hungry; starve
騎,1696,キ,,1,equestrian; riding on horses; counter for equestrians
鬼,1557,キ,おに おに-,1,ghost; devil
亀,1353,キ キュウ キン,かめ,1,tortoise; turtle
偽,1171,ギ カ,いつわ.る にせ いつわ.り,1,falsehood; lie; deceive; pretend; counterfeit; forgery
儀,739,ギ,,1,ceremony; rule; affair; case; a matter
妓,,ギ キ,わざおぎ うたいめ,,stretch; singing girl; geisha; prostitute
宜,1766,ギ,よろ.しい よろ.しく,1,best regards; good
戯,1880,ギ ゲ,たわむ.れる ざ.れる じゃ.れる,1,frolic; play; sport
技,434,ギ,わざ,2,skill; art; craft; ability; feat; performance; vocation; arts
擬,1990,ギ,まが.い もど.き,1,mimic; aim (a gun) at; nominate; imitate
欺,1541,ギ,あざむ.く,1,deceit; cheat; delude
犠,1189,ギ キ,いけにえ,1,sacrifice
疑,283,ギ,うたが.う,2,doubt; distrust; be suspicious; question
祇,2169,ギ キ シ,くにつかみ ただ まさに,,national or local god; peaceful; great
義,415,ギ,,1,righteousness; justice; morality; honor; loyalty; meaning
蟻,,ギ,あり,,ant
誼,,ギ,よしみ よい,1,friendship; intimacy
議,25,ギ,,2,deliberation; consultation; debate; consideration
掬,,キク コク,きく.す むす.ぶ すく.う たなごころ,,scoop up water with the hand
菊,1287,キク,,1,chrysanthemum
鞠,,キク キュウ,まり,1,ball
吉,711,キチ キツ,よし,1,good luck; joy; congratulations
吃,,キツ,ども.る,,stammer
喫,1347,キツ,の.む,2,consume; eat; drink; smoke; receive (a blow)
桔,,キツ ケツ,,,used in plant names
橘,2053,キツ,たちばな,1,mandarin orange
詰,1020,キツ キチ,つ.める つ.め -づ.め つ.まる つ.む,2,packed; close; pressed; reprove; rebuke; blame
砧,,チン,きぬた,,fulling block
杵,2355,ショ ソ,きね,,wooden pestle
黍,,ショ,きび,,millet
却,959,キャク,かえ.って しりぞ.く しりぞ.ける,1,instead; on the contrary; rather; step back; withdraw; retreat
客,557,キャク カク,,2,guest; visitor; customer; client
脚,1228,キャク キャ カク,あし,1,skids; leg; undercarriage; lower part; base
虐,1464,ギャク,しいた.げる,1,tyrannize; oppress
逆,683,ギャク ゲキ,さか さか.さ さか.らう,2,inverted; reverse; opposite; wicked
丘,1405,キュウ,おか,1,hill; knoll
久,688,キュウ ク,ひさ.しい,2,long time; old story
仇,2322,キュウ グ,あだ あた かたき つれあい,,foe; enemy; revenge; grudge; feud
休,642,キュウ,やす.む やす.まる やす.める,4,rest; day off; retire; sleep
及,544,キュウ,およ.ぶ およ.び および およ.ぼす,1,reach out; exert; exercise; cause
吸,1054,キュウ,す.う,2,suck; imbibe; inhale; sip
宮,367,キュウ グウ ク クウ,みや,1,Shinto shrine; constellations; palace; princess
弓,1802,キュウ,ゆみ,1,"bow; bow (archery, violin)"
急,309,キュウ,いそ.ぐ いそ.ぎ せ.く,3,hurry; emergency; sudden; steep
救,799,キュウ,すく.う,2,salvation; save; help; rescue; reclaim
朽,1891,キュウ,く.ちる,1,decay; rot; remain in seclusion
求,220,キュウ グ,もと.める,2,request; want; wish for; require; demand
汲,,キュウ,く.む,,draw (water); ladle; scoop; pump
泣,1380,キュウ,な.く,2,cry; weep; moan
灸,,キュウ ク,やいと,,moxa cautery; chastisement
球,302,キュウ,たま,2,ball; sphere
究,368,キュウ ク,きわ.める,3,research; study
窮,1756,キュウ キョウ,きわ.める きわ.まる きわ.まり きわ.み,1,hard up; destitute; suffer; perplexed; cornered
笈,,キュウ,,,backpack bookcase
級,785,キュウ,,2,class; rank; grade
糾,1820,キュウ,ただ.す,1,twist; ask; investigate; verify
給,615,キュウ,たま.う たも.う -たま.え,2,salary; wage; gift; allow; grant; bestow on
旧,549,キュウ,ふる.い もと,2,old times; old things; old friend; former; ex-
牛,1202,ギュウ,うし,3,cow
去,440,キョ コ,さ.る -さ.る,3,gone; past; quit; leave; elapse; eliminate; divorce
居,836,キョ コ,い.る -い お.る,2,reside; to be; exist; live with
巨,892,キョ,,2,gigantic; big; large; great
拒,863,キョ ゴ,こば.む,1,repel; refuse; reject; decline
拠,858,キョ コ,よ.る,1,foothold; based on; follow; therefore
挙,257,キョ,あ.げる あ.がる こぞ.る,1,raise; plan; project; behavior; actions
渠,,キョ,かれ なんぞ なに みぞ いずくんぞ,,ditch; canal; lock
虚,1454,キョ コ,むな.しい うつ.ろ,1,void; emptiness; unpreparedness; crack; fissure; untruth
許,720,キョ,ゆる.す もと,2,permit; approve
距,1191,キョ,へだ.たる けづめ,1,long-distance; spur; fetlock
鋸,,キョ コ,のこ のこぎり,,saw (cuts wood)
漁,1094,ギョ リョウ,あさ.る,2,fishing; fishery
禦,,ギョ ゴ,ふせ.ぐ,,defend; protect; resist; ward off
魚,1208,ギョ,うお さかな -ざかな,4,fish
亨,1952,コウ キョウ ホウ,とお.る,1,pass through; go smoothly
享,1893,キョウ コウ,う.ける,1,enjoy; receive; undergo; answer (phone); take; get; catch
京,74,キョウ ケイ キン,みやこ,3,capital; 10**16
供,313,キョウ ク クウ グ,そな.える とも -ども,2,submit; offer; present; serve (meal); accompany
侠,2385,キョウ,きゃん おとこだて,,tomboy; chivalry
僑,2044,キョウ,,,expatriate; person living abroad; temporary home
兇,,キョウ,おそ.れる わる.い,,wickedness
競,610,キョウ ケイ,きそ.う せ.る くら.べる,2,emulate; compete with; bid; sell at auction; bout; contest; race
共,174,キョウ,とも とも.に -ども,2,together; both; neither; all; and; alike; with
凶,1673,キョウ,,1,villain; evil; bad luck; disaster
協,121,キョウ,,2,co-; cooperation
匡,2176,キョウ オウ,すく.う ただ.す,1,correct; save; assist
卿,2138,ケイ キョウ,きみ,,you; lord; secretary; state minister
叫,1426,キョウ,さけ.ぶ,2,shout; exclaim; yell
喬,1962,キョウ,たか.い,1,high; boasting
境,346,キョウ ケイ,さかい,2,boundary; border; region
峡,1833,キョウ コウ,はざま,1,gorge; ravine
強,112,キョウ ゴウ,つよ.い つよ.まる つよ.める し.いる こわ.い,3,strong
彊,,キョウ ゴウ,つよ.い,,strong
怯,,キョウ コウ,ひる.む おびえ.る おじる おび.える おそ.れる,,cowardice; wince; flinch; hesitate; waver
恐,878,キョウ,おそ.れる おそ.る おそ.ろしい こわ.い こわ.がる,2,fear; dread; awe
恭,1737,キョウ,うやうや.しい,1,respect; reverent
挟,1870,キョウ ショウ,はさ.む はさ.まる わきばさ.む さしはさ.む,2,pinch; between
教,166,キョウ,おし.える おそ.わる,3,teach; faith; doctrine
橋,553,キョウ,はし,2,bridge
況,490,キョウ,まし.て いわ.んや おもむき,2,condition; situation
狂,1425,キョウ,くる.う くる.おしい くるお.しい,1,lunatic; insane; crazy; confuse
狭,1346,キョウ コウ,せま.い せば.める せば.まる さ,2,cramped; narrow; contract; tight
矯,2105,キョウ,た.める,1,rectify; straighten; correct; reform; cure; control; pretend; falsify
胸,1144,キョウ,むね むな-,2,bosom; breast; chest; heart; feelings
脅,1183,キョウ,おびや.かす おど.す おど.かす,1,threaten; coerce
興,734,コウ キョウ,おこ.る おこ.す,1,entertain; revive; retrieve; interest; pleasure
蕎,,キョウ,そば,,buckwheat
郷,1077,キョウ ゴウ,さと,1,home town; village; native place; district
鏡,1506,キョウ ケイ,かがみ,1,mirror; speculum; barrel-head; round rice-cake offering
響,502,キョウ,ひび.く,1,echo; sound; resound; ring; vibrate
饗,2347,キョウ,う.ける もてな.す,,banquet
驚,1141,キョウ,おどろ.く おどろ.かす,1,wonder; be surprised; frightened; amazed
仰,1573,ギョウ コウ,あお.ぐ おお.せ お.っしゃる おっしゃ.る,1,face-up; look up; depend; seek; respect; revere; drink; take
凝,1712,ギョウ,こ.る こ.らす こご.らす こご.らせる こご.る,1,congeal; freeze; stiff; be absorbed in
尭,2136,ギョウ,たか.い,1,high; far
暁,1924,ギョウ キョウ,あかつき さと.る,1,daybreak; dawn; in the event
業,43,ギョウ ゴウ,わざ,3,business; vocation; arts; performance
局,286,キョク,つぼね,2,bureau; board; office; affair; conclusion; court lady; lady-in-waiting; her apartment
曲,810,キョク,ま.がる ま.げる くま,2,bend; music; melody; composition; pleasure; injustice; fault; curve; crooked; perverse; lean
極,460,キョク ゴク,きわ.める きわ.まる きわ.まり きわ.み き.める -ぎ.め き.まる,2,poles; settlement; conclusion; end; highest rank; electric poles; very; extremely; most; highly; 10**48
玉,737,ギョク,たま たま- -だま,2,jewel; ball
桐,1668,トウ ドウ,きり,1,paulownia
粁,,,キロメートル,,kilometer; (kokuji)
僅,,キン ゴン,わず.か,,a wee bit
勤,830,キン ゴン,つと.める -づと.め つと.まる いそ.しむ,2,diligence; become employed; serve
均,715,キン,なら.す,2,level; average
巾,,キン フク,おお.い ちきり きれ,,towel; hanging scroll; width; cloth radical (no. 50)
錦,1440,キン,にしき,1,brocade; fine dress; honors
斤,,キン,,1,axe; 1.32 lb; catty; counter for loaves of bread; axe radical (no. 69)
欣,2071,キン ゴン コン,よろこ.ぶ よろこ.び,1,take pleasure in; rejoice
欽,2181,キン コン,つつし.む,1,respect; revere; long for
琴,1591,キン ゴン,こと,1,harp; koto
禁,681,キン,,2,prohibition; ban; forbid
禽,,キン,とり とりこ,,bird; captive; capture
筋,744,キン,すじ,1,muscle; sinew; tendon; fiber; plot; plan; descent
緊,677,キン,し.める し.まる,1,tense; solid; hard; reliable; tight
芹,2158,キン,せり,1,parsley
菌,1586,キン,,1,germ; fungus; bacteria
衿,,キン コン,えり,1,neck; collar; lapel
襟,2030,キン,えり,1,collar; neck; lapel; one's inner feelings
謹,2068,キン,つつし.む,1,discreet; reverently; humbly
近,194,キン コン,ちか.い,3,near; early; akin; tantamount
金,53,キン コン ゴン,かね かな- -がね,4,gold
吟,1956,ギン,,1,versify; singing; recital
銀,395,ギン,しろがね,3,silver
九,55,キュウ ク,ここの ここの.つ,4,nine
倶,1842,グ ク,とも.に,,both; together; alike
句,1244,ク,,1,phrase; clause; sentence; passage; paragraph; counter for haiku
区,137,ク オウ コウ,,3,ward; district
狗,,ク コウ,いぬ,,puppy; dog
玖,,キュウ ク,,1,beautiful black jewel; nine
矩,2380,ク,かね かねざし さしがね,1,ruler; carpenter's square
苦,623,ク,くる.しい -ぐる.しい くる.しむ くる.しめる にが.い にが.る,2,suffering; trial; worry; hardship; feel bitter; scowl
躯,,ク,むくろ からだ,,body; corpse; tree with rotten core
駆,1033,ク,か.ける か.る,1,drive; run; gallop; advance; inspire; impel
駈,,ク,か.ける か.る,,run; gallop; advance
駒,1452,ク,こま,1,pony; horse; colt
具,629,グ,そな.える つぶさ.に,2,"tool; utensil; means; possess; ingredients; counter for armor, suits, sets of furniture"
愚,1551,グ,おろ.か,1,foolish; folly; absurdity; stupid
虞,,グ,おそれ おもんぱか.る はか.る うれ.える あざむ.く あやま.る のぞ.む たの.しむ,1,fear; uneasiness; anxiety; concern; expectation; consideration
喰,,,く.う く.らう,,eat; drink; receive (a blow); (kokuji)
空,304,クウ,そら あ.く あ.き あ.ける から す.く す.かす むな.しい,4,empty; sky; void; vacant; vacuum
