character,frequency,onyomi,kunyomi,jlpt,meaning
飲,969,イン オン,の.む -の.み,4,drink; smoke; take
淫,,イン,ひた.す ほしいまま みだ.ら みだ.れる みだり,,lewdness; licentiousness
胤,,イン,たね,1,descendent; issue; offspring
蔭,2166,イン オン,かげ,,shade; shadow; backing assistance
院,150,イン,,3,Inst.; institution; temple; mansion; school
陰,1393,イン,かげ かげ.る,1,shade; yin; negative; sex organs; secret; shadow
隠,1089,イン オン,かく.す かく.し かく.れる よ.る,1,conceal; hide; cover
韻,2148,イン,,1,rhyme; elegance; tone
吋,,トウ ドウ スン,インチ,,inch
右,602,ウ ユウ,みぎ,4,right
宇,883,ウ,,2,eaves; roof; house; heaven
烏,2042,ウ オ,からす いずくんぞ なんぞ,,crow; raven
羽,748,ウ,は わ はね,2,"feathers; counter for birds, rabbits"
迂,,ウ,,,roundabout way
雨,950,ウ,あめ あま- -さめ,4,rain
卯,2400,ボウ モウ,う,1,sign of the hare or rabbit; fourth sign of Chinese zodiac; 5-7AM; east
鵜,2118,テイ ダイ,う,,cormorant
窺,,キ,うかが.う のぞく,,lie in wait; spy on; reconnoiter
丑,2305,チュウ,うし,1,sign of the ox or cow; 1-3AM; second sign of Chinese zodiac
碓,2364,カク タイ,たし.か かく.たる,,pestle
臼,2048,キュウ グ,うす うすづ.く,,mortar
渦,1789,カ,うず,1,whirlpool; eddy; vortex
嘘,2235,キョ コ,うそ ふ.く,,lie; falsehood
唄,2051,バイ,うた うた.う,1,song; ballad
欝,,ウツ ウン,うっ.する ふさ.ぐ しげ.る,,gloom; depression; melancholy
蔚,,ウツ イ,うち おとこよもぎ,,dense growth
鰻,,マン バン,うなぎ,,eel
姥,,ボ モ,うば,,old woman
厩,,キュウ,うまや,,barn; stable
浦,977,ホ,うら,1,bay; creek; inlet; gulf; beach; seacoast
瓜,2459,カ ケ,うり,,melon
閏,,ジュン,うるう,,intercalation; illegitimate throne
噂,2298,ソン,うわさ,,rumor; gossip; hearsay
云,,ウン,い.う ここに,,say
運,255,ウン,はこ.ぶ,3,carry; luck; destiny; fate; lot; transport; progress; advance
雲,1256,ウン,くも -ぐも,2,cloud
荏,2096,ジン ニン,,,bean; perilla; herb; soft; pliable
餌,2277,ジ ニ,え えば えさ もち,,food; bait; prey; tempting profit
叡,,エイ,あき.らか,1,intelligence; imperial
営,303,エイ,いとな.む いとな.み,2,camp; perform; build; conduct (business)
嬰,,エイ,ふ.れる みどりご あかご,,sharp (music); baby
影,464,エイ,かげ,1,shadow; silhouette; phantom
映,404,エイ,うつ.る うつ.す は.える -ば.え,3,reflect; reflection; projection
